name,category,priority,phone,email,address,status,value,source,gmaps,notes,addedDate
"Sophia","Hair Salon / Barbershop","medium","(512) 392-5355","","1104 Thorpe Ln, San Marcos, TX 78666, USA","new","","Google Places API","https://maps.google.com/?cid=9408170334114378149","Rating: 4.4 (55 reviews)","2026-05-20T01:14:42.948Z"
"Eros Studio","Hair Salon / Barbershop","medium","(512) 573-7668","","829 N LBJ Dr, San Marcos, TX 78666, USA","new","","Google Places API","https://maps.google.com/?cid=15748298058021248394","Rating: 5 (64 reviews)","2026-05-20T01:14:43.213Z"
"Adam's Barber Shop","Hair Salon / Barbershop","medium","(512) 667-9790","","417 Riverside Dr, San Marcos, TX 78666, USA","new","","Google Places API","https://maps.google.com/?cid=1464106399170667942","Rating: 4.7 (37 reviews)","2026-05-20T01:14:43.479Z"
"TomCatDoesHair","Hair Salon / Barbershop","medium","(512) 393-4256","","225 N LBJ Dr, San Marcos, TX 78666, USA","new","","Google Places API","https://maps.google.com/?cid=9592265181775813781","Rating: 5 (2 reviews)","2026-05-20T01:14:44.315Z"
"Milo's Barbershop","Hair Salon / Barbershop","medium","(512) 545-1639","","130 S L B J Dr, San Marcos, TX 78666, USA","new","","Google Places API","https://maps.google.com/?cid=6463744670137319030","Rating: 5 (8 reviews)","2026-05-20T01:14:51.219Z"
"Danny & Barbara's","Hair Salon / Barbershop","medium","(512) 392-5022","","302 W Hopkins St, San Marcos, TX 78666, USA","new","","Google Places API","https://maps.google.com/?cid=16941168883830759361","Rating: 4.7 (95 reviews)","2026-05-20T01:14:52.194Z"
"AllStars Barbershop","Hair Salon / Barbershop","medium","(512) 739-9427","","135 S L B J Dr, San Marcos, TX 78666, USA","new","","Google Places API","https://maps.google.com/?cid=3111901187454351318","Rating: 4.2 (59 reviews)","2026-05-20T01:14:52.460Z"
"My Salon & Spa","Hair Salon / Barbershop","medium","(512) 754-7791","","141 S L B J Dr, San Marcos, TX 78666, USA","new","","Google Places API","https://maps.google.com/?cid=80863852919406294","Rating: 5 (18 reviews)","2026-05-20T01:14:52.964Z"
"Welcome back","Hair Salon / Barbershop","medium","(512) 618-5594","","311 W Hopkins St, San Marcos, TX 78666, USA","new","","Google Places API","https://maps.google.com/?cid=1721640661884499219","","2026-05-20T01:14:54.049Z"
"Sandie Daniels","Hair Salon / Barbershop","medium","","","223 N C M Allen Pkwy, San Marcos, TX 78666, USA","new","","Google Places API","https://maps.google.com/?cid=15627946815901452909","Rating: 5 (2 reviews)","2026-05-20T01:14:54.836Z"
"Nails By Rendy","Hair Salon / Barbershop","medium","(512) 392-8848","","2401 Hunter Rd #400, San Marcos, TX 78666, USA","new","","Google Places API","https://maps.google.com/?cid=14795514585370382519","Rating: 5 (1 reviews)","2026-05-20T01:14:56.152Z"
"Hair Fitness Salon","Hair Salon / Barbershop","medium","(512) 353-8120","","2108 Hunter Rd # 110, San Marcos, TX 78666, USA","new","","Google Places API","https://maps.google.com/?cid=12047575632769368505","Rating: 4.7 (29 reviews)","2026-05-20T01:14:56.403Z"
"ISIS WELLNESS NAIL SPA","Hair Salon / Barbershop","medium","","","1015 TX-80 Unit E, San Marcos, TX 78666, USA","new","","Google Places API","https://maps.google.com/?cid=7886616322273157410","","2026-05-20T01:14:56.639Z"
"Hair Therapy Salon","Hair Salon / Barbershop","medium","(512) 665-1360","","206 E Moore St, Kyle, TX 78640, USA","new","","Google Places API","https://maps.google.com/?cid=5487947433030185128","Rating: 4.6 (18 reviews)","2026-05-20T01:14:56.898Z"
"Chartreuse Hair Studio","Hair Salon / Barbershop","medium","","","829 N LBJ Dr, San Marcos, TX 78666, USA","new","","Google Places API","https://maps.google.com/?cid=9474112281696304844","Rating: 5 (4 reviews)","2026-05-20T01:14:57.710Z"
"Rita's Parlour","Hair Salon / Barbershop","medium","(512) 994-3401","","1504 Aquarena Springs Dr Ste 202A, San Marcos, TX 78666, USA","new","","Google Places API","https://maps.google.com/?cid=14411739324874460671","Rating: 4.7 (355 reviews)","2026-05-20T01:14:57.978Z"
"Spa Botanica","Hair Salon / Barbershop","medium","(512) 805-5300","","1001 E McCarty Ln, San Marcos, TX 78666, USA","new","","Google Places API","https://maps.google.com/?cid=15173833280353412115","Rating: 4.3 (8 reviews)","2026-05-20T01:15:00.477Z"
"Val's Brows","Hair Salon / Barbershop","medium","(405) 503-0112","","119b E Hopkins St, San Marcos, TX 78666, USA","new","","Google Places API","https://maps.google.com/?cid=13034168165186915921","Rating: 5 (2 reviews)","2026-05-20T01:15:01.307Z"
"Salon Central Nails","Hair Salon / Barbershop","medium","(313) 603-2266","","315 N LBJ Dr, San Marcos, TX 78666, USA","new","","Google Places API","https://maps.google.com/?cid=9407823692652012132","Rating: 4.5 (452 reviews)","2026-05-20T01:15:01.843Z"
"Hair Solutions","Hair Salon / Barbershop","medium","","","317 N Fredericksburg St, San Marcos, TX 78666, USA","new","","Google Places API","https://maps.google.com/?cid=13057315422463780592","","2026-05-20T01:15:02.222Z"
"Calcutta's Hair Design","Hair Salon / Barbershop","medium","(512) 665-1289","","322 W Hopkins St suite 5, San Marcos, TX 78666, USA","new","","Google Places API","https://maps.google.com/?cid=16161459284258317740","Rating: 5 (2 reviews)","2026-05-20T01:15:05.333Z"
"BOBCAT NAIL & SPA","Hair Salon / Barbershop","medium","(512) 781-2870","","125 Moore St #105, San Marcos, TX 78666, USA","new","","Google Places API","https://maps.google.com/?cid=6636031081610016596","Rating: 4.2 (179 reviews)","2026-05-20T01:15:05.604Z"
"Hairaholics CM Allen","Hair Salon / Barbershop","medium","(512) 210-8999","","300 S CM Allen Pkwy SUITE 214, San Marcos, TX 78666, USA","new","","Google Places API","https://maps.google.com/?cid=6787956186623877821","","2026-05-20T01:15:05.920Z"
"San Marcos","Hair Salon / Barbershop","medium","","","200 Springtown Way, San Marcos, TX 78666, USA","new","","Google Places API","https://maps.google.com/?cid=15787211603881502159","","2026-05-20T01:15:08.234Z"
"Flawless Nails Spa","Hair Salon / Barbershop","medium","(512) 409-9221","","200 Springtown Way #134, San Marcos, TX 78666, USA","new","","Google Places API","https://maps.google.com/?cid=12259321057945626298","Rating: 3.9 (162 reviews)","2026-05-20T01:15:08.748Z"
"Arte de Vida Salon & Spa","Hair Salon / Barbershop","medium","(512) 787-2003","","1205 North State Texas Highway 123 Suite 101, San Marcos, TX 78666, USA","new","","Google Places API","https://maps.google.com/?cid=5459854873999498782","Rating: 4.8 (23 reviews)","2026-05-20T01:15:10.156Z"
"Avery Ottrix","Hair Salon / Barbershop","medium","(847) 409-3822","","1515 Aquarena Springs Dr, San Marcos, TX 78666, USA","new","","Google Places API","https://maps.google.com/?cid=10563861515339878884","","2026-05-20T01:15:10.414Z"
"Reflexology For the Sole","Nail Salon / Spa","medium","(737) 212-2734","","2626 Hunter Rd #203, San Marcos, TX 78666, USA","new","","Google Places API","https://maps.google.com/?cid=15630553459960323800","","2026-05-20T01:15:32.400Z"
"Regal Nails, Salon & Spa","Hair Salon / Barbershop","medium","(512) 353-4747","","1015 TX-80, San Marcos, TX 78666, USA","new","","Google Places API","https://maps.google.com/?cid=5952419982804074614","Rating: 4.2 (101 reviews)","2026-05-20T01:15:37.348Z"
"Lali Med Spa","Nail Salon / Spa","medium","","","601 Leah Ave, San Marcos, TX 78666, USA","new","","Google Places API","https://maps.google.com/?cid=6927752374074671535","Rating: 5 (3 reviews)","2026-05-20T01:15:37.858Z"
"Happy Feet Massage","Nail Salon / Spa","medium","(210) 367-9719","","1020 Center Point Rd, San Marcos, TX 78666, USA","new","","Google Places API","https://maps.google.com/?cid=539353904251807044","Rating: 4.7 (12 reviews)","2026-05-20T01:15:39.104Z"
"Astra Aesthetics","Hair Salon / Barbershop","medium","(512) 426-1900","","308 Keystone Loop N/A, Kyle, TX 78640, USA","new","","Google Places API","https://maps.google.com/?cid=16257948472078362180","Rating: 5 (7 reviews)","2026-05-20T01:15:41.686Z"
"Jenn’s Beauty Lounge","Hair Salon / Barbershop","medium","(737) 305-7009","","5581 Kyle Centre Dr Suite 206, Kyle, TX 78640, USA","new","","Google Places API","https://maps.google.com/?cid=7650528812404746806","Rating: 5 (10 reviews)","2026-05-20T01:15:41.941Z"
"MCA Petroleum","Auto Repair / Detailing","medium","(512) 396-5326","","1205 TX-123 #200, San Marcos, TX 78666, USA","new","","Google Places API","https://maps.google.com/?cid=16019040136567149844","Rating: 4.5 (2 reviews)","2026-05-20T01:15:49.973Z"
"American Tire Distributors Inc","Auto Repair / Detailing","medium","(512) 805-0586","","San Marcos, TX 78666, USA","new","","Google Places API","https://maps.google.com/?cid=9397098504087513514","Rating: 4.8 (4 reviews)","2026-05-20T01:15:50.227Z"
"Garcia's Tire Shop","Auto Repair / Detailing","medium","(512) 392-2624","","1999 Guadalupe St, San Marcos, TX 78666, USA","new","","Google Places API","https://maps.google.com/?cid=12914885882093084698","Rating: 4.6 (189 reviews)","2026-05-20T01:15:54.987Z"
"Honda Parts","Auto Repair / Detailing","medium","(877) 764-6632","","4300 S I-35 South Frontage Rd, San Marcos, TX 78666, USA","new","","Google Places API","https://maps.google.com/?cid=10708536096474212101","Rating: 4.5 (14 reviews)","2026-05-20T01:15:56.596Z"
"AutoMedic","Auto Repair / Detailing","medium","(512) 738-9064","","2005 Fir St, San Marcos, TX 78666, USA","new","","Google Places API","https://maps.google.com/?cid=15943197567757824691","Rating: 4.8 (33 reviews)","2026-05-20T01:15:57.705Z"
"J & R Tire Shop","Auto Repair / Detailing","medium","(737) 414-3400","","111 Old Hwy 81, Kyle, TX 78640, USA","new","","Google Places API","https://maps.google.com/?cid=13960081454969837403","Rating: 4.3 (152 reviews)","2026-05-20T01:16:03.447Z"
"10 Minute Sticker Station","Auto Repair / Detailing","medium","(512) 620-1354","","1540 S Interstate 35, San Marcos, TX 78666, USA","new","","Google Places API","https://maps.google.com/?cid=2763015849415559647","Rating: 4.6 (392 reviews)","2026-05-20T01:16:04.213Z"
"LaserWash Car wash","Auto Repair / Detailing","medium","","","218-224 Knox St, San Marcos, TX 78666, USA","new","","Google Places API","https://maps.google.com/?cid=2160639010307248893","Rating: 4.2 (237 reviews)","2026-05-20T01:16:08.588Z"
"H-E-B Car Wash","Auto Repair / Detailing","medium","","","641 E Hopkins St, San Marcos, TX 78666, USA","new","","Google Places API","https://maps.google.com/?cid=10178854433127136107","Rating: 3.6 (8 reviews)","2026-05-20T01:16:08.844Z"
"7 dollar Car Wash","Auto Repair / Detailing","medium","","","1433 S I-35 South Frontage Rd, San Marcos, TX 78666, USA","new","","Google Places API","https://maps.google.com/?cid=11979493646121599276","Rating: 4.1 (22 reviews)","2026-05-20T01:16:09.640Z"
"Carwash","Auto Repair / Detailing","medium","","","1711 Old Ranch Rd 12, San Marcos, TX 78666, USA","new","","Google Places API","https://maps.google.com/?cid=949413742761418744","Rating: 4.2 (74 reviews)","2026-05-20T01:16:09.896Z"
"Sonny’s enterprises","Auto Repair / Detailing","medium","","","221 Wonder World Dr, San Marcos, TX 78666, USA","new","","Google Places API","https://maps.google.com/?cid=3435331937362697988","","2026-05-20T01:16:10.448Z"
"Thermal Jet Car Wash","Auto Repair / Detailing","medium","","","2106 Hunter Rd, San Marcos, TX 78666, USA","new","","Google Places API","https://maps.google.com/?cid=11097034500136858362","Rating: 4 (170 reviews)","2026-05-20T01:16:10.727Z"
"Conley car wash","Auto Repair / Detailing","medium","","","6150 FM2770, Kyle, TX 78640, USA","new","","Google Places API","https://maps.google.com/?cid=11167275901876325724","Rating: 1.6 (8 reviews)","2026-05-20T01:16:12.634Z"
"Rapid Express","Auto Repair / Detailing","medium","","","5537 Kyle Centre Dr, Kyle, TX 78640, USA","new","","Google Places API","https://maps.google.com/?cid=14265695062061027404","Rating: 4 (267 reviews)","2026-05-20T01:16:15.616Z"
"C W Electrical Services","Plumbing / HVAC / Electric","medium","(512) 912-6517","","118 Oak Meadows 225 North C, M Allen Pkwy, San Marcos, TX 78666, USA","new","","Google Places API","https://maps.google.com/?cid=9941336307497943408","Rating: 4.4 (29 reviews)","2026-05-20T01:16:17.937Z"
"Corridor Electric","Plumbing / HVAC / Electric","medium","(512) 738-0374","","215 W San Antonio St #2012, San Marcos, TX 78666, USA","new","","Google Places API","https://maps.google.com/?cid=9775263234375151835","Rating: 5 (2 reviews)","2026-05-20T01:16:18.480Z"
"Home Town Electric","Plumbing / HVAC / Electric","medium","(830) 627-8290","","1755 Craddock Ave, San Marcos, TX 78666, USA","new","","Google Places API","https://maps.google.com/?cid=6405678908106831414","Rating: 3.6 (7 reviews)","2026-05-20T01:16:19.709Z"
"G&P Electric","Plumbing / HVAC / Electric","medium","","","2214 Hunter Rd, San Marcos, TX 78666, USA","new","","Google Places API","https://maps.google.com/?cid=8383956755207996056","","2026-05-20T01:16:19.952Z"
"Hill Country Appliance","Plumbing / HVAC / Electric","medium","(512) 200-8584","","395 Co Rd 202 Bldg 3B, Kyle, TX 78640, USA","new","","Google Places API","https://maps.google.com/?cid=6456014644869267361","Rating: 4.5 (19 reviews)","2026-05-20T01:16:22.277Z"
"Mullen Electric","Plumbing / HVAC / Electric","medium","(512) 563-9248","","251 Britni Loop, Kyle, TX 78640, USA","new","","Google Places API","https://maps.google.com/?cid=2178126275068498574","Rating: 4.3 (6 reviews)","2026-05-20T01:16:25.493Z"
"Apache Plumbing","Plumbing / HVAC / Electric","medium","(512) 353-4442","","215 W San Antonio St, San Marcos, TX 78666, USA","new","","Google Places API","https://maps.google.com/?cid=15610922860965058190","Rating: 4.5 (44 reviews)","2026-05-20T01:16:26.255Z"
"San Marcos Plumbing","Plumbing / HVAC / Electric","medium","(512) 618-7821","","324 Riverwalk Dr, San Marcos, TX 78666, USA","new","","Google Places API","https://maps.google.com/?cid=624217979868442211","Rating: 3.2 (44 reviews)","2026-05-20T01:16:26.796Z"
"The Original Home Solution","Plumbing / HVAC / Electric","medium","(512) 618-8166","","1205 TX-123, San Marcos, TX 78666, USA","new","","Google Places API","https://maps.google.com/?cid=13430597481844689543","","2026-05-20T01:16:27.609Z"
"Albert's Backflow Solutions","Plumbing / HVAC / Electric","medium","(706) 830-4561","","107 E Holland St, San Marcos, TX 78666, USA","new","","Google Places API","https://maps.google.com/?cid=11610980286701047258","Rating: 5 (1 reviews)","2026-05-20T01:16:27.941Z"
"Rebellion Plumbing","Plumbing / HVAC / Electric","medium","(512) 878-7005","","167 Northfork Rd, San Marcos, TX 78666, USA","new","","Google Places API","https://maps.google.com/?cid=3094782640794881637","Rating: 5 (1 reviews)","2026-05-20T01:16:29.912Z"
"Rocha Plumbing","Plumbing / HVAC / Electric","medium","(512) 738-2802","","5941 FM 621, Martindale, TX 78655, USA","new","","Google Places API","https://maps.google.com/?cid=13946290630982895985","Rating: 3.2 (9 reviews)","2026-05-20T01:16:31.059Z"
"ED Plumbing Repair Kyle","Plumbing / HVAC / Electric","medium","(512) 675-3582","","101 Dixie Cove, Kyle, TX 78640, USA","new","","Google Places API","https://maps.google.com/?cid=5124098105824395676","","2026-05-20T01:16:34.456Z"
"R & R Painting and Remodeling","Plumbing / HVAC / Electric","medium","(512) 644-3934","","850 Older Bluff, San Marcos, TX 78666, USA","new","","Google Places API","https://maps.google.com/?cid=1098744637416605592","Rating: 2 (3 reviews)","2026-05-20T01:16:40.731Z"
"Holiday Roofing","Plumbing / HVAC / Electric","medium","(512) 361-7170","","4105 Hunter Rd #4, San Marcos, TX 78666, USA","new","","Google Places API","https://maps.google.com/?cid=3438763285693660960","Rating: 5 (4 reviews)","2026-05-20T01:16:40.988Z"
"Advanced Industrial Coatings","Plumbing / HVAC / Electric","medium","(830) 708-5217","","2631 Lions Den, New Braunfels, TX 78132, USA","new","","Google Places API","https://maps.google.com/?cid=13938144613515037773","","2026-05-20T01:16:41.823Z"
"Quality Roofing","Plumbing / HVAC / Electric","medium","(737) 227-6241","","231 N Guadalupe St, San Marcos, TX 78666, USA","new","","Google Places API","https://maps.google.com/?cid=17467864280848579150","Rating: 5 (1 reviews)","2026-05-20T01:16:42.744Z"
"M & M Roofing, Siding & Windows","Plumbing / HVAC / Electric","medium","(512) 392-1708","","Young Building, 323 W Hopkins St, San Marcos, TX 78666, USA","new","","Google Places API","https://maps.google.com/?cid=14690480124589338023","Rating: 5 (4 reviews)","2026-05-20T01:16:44.472Z"
"Hays Roofing And More","Plumbing / HVAC / Electric","medium","(726) 221-7573","","101 Linda Dr, San Marcos, TX 78666, USA","new","","Google Places API","https://maps.google.com/?cid=14694627977144362819","Rating: 5 (1 reviews)","2026-05-20T01:16:45.922Z"
"Falcon Roofing LLC","Plumbing / HVAC / Electric","medium","(512) 529-0560","","4550 S I-35 South Frontage Rd, San Marcos, TX 78666, USA","new","","Google Places API","https://maps.google.com/?cid=8077516836888579826","Rating: 5 (3 reviews)","2026-05-20T01:16:53.021Z"
"Prime Roofing","Plumbing / HVAC / Electric","medium","(737) 227-6238","","100 W Lockhart St, Kyle, TX 78640, USA","new","","Google Places API","https://maps.google.com/?cid=11479461458931314983","","2026-05-20T01:16:58.704Z"
"Burton Roofing","Plumbing / HVAC / Electric","medium","(210) 445-4076","","2575 York Creek Rd, New Braunfels, TX 78130, USA","new","","Google Places API","https://maps.google.com/?cid=16647291081991433682","","2026-05-20T01:16:58.972Z"
"Reliable Local Contractor","Plumbing / HVAC / Electric","medium","(713) 513-0668","","125 Ladybug Ln, Martindale, TX 78655, USA","new","","Google Places API","https://maps.google.com/?cid=6291519201619879070","","2026-05-20T01:17:01.019Z"
"Great Big Signs Inc","Plumbing / HVAC / Electric","medium","(512) 262-2157","","200 Opal Ln, Kyle, TX 78640, USA","new","","Google Places API","https://maps.google.com/?cid=10435626889425413295","Rating: 5 (4 reviews)","2026-05-20T01:17:01.281Z"
"Crew Indigo","Cleaning Service","medium","(512) 465-2978","","400 S. Old Hwy 81, Kyle, TX 78640, USA","new","","Google Places API","https://maps.google.com/?cid=16158619614395438079","","2026-05-20T01:17:01.805Z"
"San Marcos House Painting","Plumbing / HVAC / Electric","medium","(512) 501-2284","","210 E Hopkins St, San Marcos, TX 78666, USA","new","","Google Places API","https://maps.google.com/?cid=10231995200827259974","Rating: 3 (2 reviews)","2026-05-20T01:17:02.064Z"
"Bobcat Mobile Mechanics","Auto Repair / Detailing","medium","","","Rios Tires, 1122 TX-123 #105, San Marcos, TX 78666, USA","new","","Google Places API","https://maps.google.com/?cid=1875888568176590941","Rating: 2.1 (21 reviews)","2026-05-20T01:17:04.442Z"
"Jarmon Mobile Mechanic","Auto Repair / Detailing","medium","(512) 552-4739","","1800 Post Rd, San Marcos, TX 78666, USA","new","","Google Places API","https://maps.google.com/?cid=16665689412146179588","Rating: 4.6 (16 reviews)","2026-05-20T01:17:05.241Z"
"GYM NOW","Fitness / Gym","medium","(512) 855-1604","","2626 Hunter Rd #203, San Marcos, TX 78666, USA","new","","Google Places API","https://maps.google.com/?cid=10453804975980447339","Rating: 4.8 (90 reviews)","2026-05-20T01:17:06.572Z"
"FocusFitSM","Fitness / Gym","medium","(512) 210-3444","","400 S CM Allen Pkwy, San Marcos, TX 78666, USA","new","","Google Places API","https://maps.google.com/?cid=12672885871780903397","Rating: 5 (11 reviews)","2026-05-20T01:17:06.833Z"
"Nutricion & bienestar","Fitness / Gym","medium","(512) 787-9273","","501 Broadway St, San Marcos, TX 78666, USA","new","","Google Places API","https://maps.google.com/?cid=7361469554105207667","","2026-05-20T01:17:07.371Z"
"Parking for gym","Fitness / Gym","medium","","","419 North St, San Marcos, TX 78666, USA","new","","Google Places API","https://maps.google.com/?cid=5001547299764283014","","2026-05-20T01:17:11.166Z"
"Hays County Fit (inside Hays County PT & Wellness)","Fitness / Gym","medium","(512) 268-9130","","324 Riverwalk Dr Suite 311, San Marcos, TX 78666, USA","new","","Google Places API","https://maps.google.com/?cid=4639152752845229082","Rating: 5 (5 reviews)","2026-05-20T01:17:18.017Z"
"JohnHaysShopify","Pet Services","medium","(713) 386-9585","","1510 N LBJ Dr, San Marcos, TX 78666, USA","new","","Google Places API","https://maps.google.com/?cid=6664559642411998393","","2026-05-20T01:17:40.787Z"
"Nowland Dan DVM","Pet Services","medium","(512) 353-2717","","415 Springtown Way, San Marcos, TX 78666, USA","new","","Google Places API","https://maps.google.com/?cid=7544431425100436508","Rating: 5 (3 reviews)","2026-05-20T01:17:42.811Z"
